"country","MedianIncome_MedianIncome_IntDollars_2020","MedianIncome_MeanIncome_IntDollars_2020","MedianIncome_GDPPPP_IntDollars","MedianIncome_GDPPPPYear"
"India",,1314,10176,2023
"China",,4246,24558,2023
"United States",19306,25332,81695,2023
"Indonesia",,2510,15613,2023
"Pakistan",1399,1797,6212,2023
"Nigeria",825,1021,6318,2023
"Brazil",4559,7654,20584,2023
"Bangladesh",1131,1414,9066,2023
"Russia",5504,7275,44104,2023
"Ethiopia",907,1107,3109,2023
"Mexico",3315,4929,25602,2023
"Japan",14255,17095,50207,2023
"Egypt",1485,1847,18817,2023
"Philippines",1581,2199,10756,2023
"Democratic Republic of the Congo",395,548,1671,2023
"Vietnam",3149,3881,15194,2023
"Iran",4360,5924,17922,2023
"Turkey",5251,7267,44151,2023
"Germany",16845,19730,69338,2023
"Thailand",4356,5670,23423,2023
"United Kingdom",14793,18133,58906,2023
"Tanzania",702,992,3973,2023
"France",16372,19409,61157,2023
"South Africa",1624,4081,15847,2023
"Italy",13170,15547,58755,2023
"Kenya",874,1197,6324,2023
"Myanmar",1909,2296,5905,2023
"Colombia",3259,5201,21548,2023
"South Korea",12507,14316,54033,2023
"Sudan",1277,1592,3137,2023
"Uganda",804,1166,3098,2023
"Spain",11786,13822,52779,2023
"Algeria",2612,2996,17027,2023
"Iraq",1951,2293,13969,2023
"Argentina",5319,6935,29363,2023
"Yemen",1150,1503,,
"Canada",18652,22042,61582,2023
"Poland",8885,10155,49464,2023
"Morocco",2716,3721,9743,2023
"Angola",665,1066,8041,2023
"Ukraine",4434,5010,18008,2023
"Uzbekistan",591,752,9725,2023
"Malaysia",7512,10200,37248,2023
"Mozambique",529,947,1657,2023
"Ghana",1779,2422,7466,2023
"Peru",3678,4977,16717,2023
"Madagascar",398,567,1875,2023
"Ivory Coast",987,1358,7791,2023
"Nepal",1155,1428,5182,2023
"Cameroon",1245,1841,5380,2023
"Venezuela",2710,3741,,
"Niger",738,937,1817,2023
"Australia",17076,21329,69115,2023
"Syria",1996,2606,2915,2021
"Mali",689,861,2726,2023
"Burkina Faso",748,1002,2727,2023
"Taiwan",13605,16355,,
"Sri Lanka",2277,3162,14455,2023
"Malawi",484,733,1868,2023
"Zambia",545,1045,4126,2023
"Kazakhstan",3661,4313,39333,2023
"Chad",880,1182,1969,2023
"Chile",6293,9304,33285,2023
"Romania",5206,5949,47903,2023
"Senegal",844,1137,4833,2023
"Guatemala",2036,3103,14067,2023
"Netherlands",17154,19690,78215,2023
"Ecuador",3525,5046,15870,2023
"Zimbabwe",932,1429,3900,2023
"Guinea",843,1036,4429,2023
"Benin",699,989,4248,2023
"Rwanda",621,925,3361,2023
"Burundi",475,640,951,2023
"Bolivia",3631,4787,10727,2023
"Tunisia",3366,4076,13682,2023
"South Sudan",793,1121,1146,2015
"Haiti",1162,1540,3256,2023
"Belgium",16157,17917,70456,2023
"Jordan",3185,4025,10452,2023
"Dominican Republic",4060,5873,25611,2023
"United Arab Emirates",24292,27107,83903,2023
"Honduras",1959,3109,7211,2023
"Czechia",10046,11394,53817,2023
"Sweden",17625,20193,70207,2023
"Tajikistan",1994,2437,5082,2023
"Papua New Guinea",876,1162,4607,2023
"Portugal",8439,10316,48759,2023
"Azerbaijan",1393,3851,23686,2023
"Greece",6936,8131,41187,2023
"Hungary",7684,8613,45942,2023
"Togo",683,964,3155,2023
"Israel",10866,13271,53434,2023
"Austria",18405,20718,73751,2023
"Belarus",6507,7359,30752,2023
"Switzerland",21490,25787,92980,2023
"Sierra Leone",765,1004,1847,2023
"Laos",1065,1389,9326,2023
"Turkmenistan",706,963,17100,2019
"Kyrgyzstan",1892,2235,7103,2023
"Paraguay",4334,6373,17466,2023
"Nicaragua",2697,3913,8044,2023
"Bulgaria",5696,7474,38690,2023
"Serbia",4416,5252,27402,2023
"El Salvador",3095,3989,12542,2023
"Republic of the Congo",892,1375,6933,2023
"Denmark",17432,20304,76688,2023
"Lebanon",7712,9091,12853,2022
"Finland",16332,18742,65061,2023
"Liberia",753,945,1819,2023
"Norway",22684,25272,104460,2023
"Slovakia",7991,8408,54948,2023
"occupied Palestinian territory, including east Jerusalem",3275,3964,5888,2023
"Central African Republic",491,891,1130,2023
"Ireland",14520,17938,127623,2023
"Mauritania",1760,2094,6934,2023
"Costa Rica",5457,8440,27953,2023
"Panama",6254,9453,39695,2023
"Croatia",7196,8008,45910,2023
"Georgia",2273,2814,24681,2023
"Mongolia",2800,3409,18108,2023
"Uruguay",7533,9888,34062,2023
"Bosnia and Herzegovina",5925,7131,22846,2023
"Moldova",3133,3590,17384,2023
"Namibia",1962,4023,12757,2023
"Armenia",2216,2810,23055,2023
"Lithuania",8267,10479,51877,2023
"Jamaica",2899,4429,11475,2023
"Albania",2578,3141,21395,2023
"Gambia",1383,1784,3163,2023
"Gabon",2779,3544,21947,2023
"Botswana",1596,2907,19383,2023
"Lesotho",1157,1659,2794,2023
"Guinea-Bissau",486,797,2630,2023
"Slovenia",11878,13056,54948,2023
"Latvia",7971,9727,42501,2023
"North Macedonia",3857,4279,24873,2023
"Trinidad and Tobago",2868,3711,31572,2023
"Timor-Leste",970,1147,5109,2023
"Estonia",10651,12540,48992,2023
"Cyprus",13053,15663,57101,2023
"Mauritius",3832,4969,29499,2023
"Eswatini",1097,2091,11741,2023
"Djibouti",1403,1869,7204,2023
"Fiji",2460,3261,15047,2023
"Comoros",1401,2050,3855,2023
"Guyana",2003,2729,55263,2023
"Solomon Islands",1028,1333,3035,2023
"Bhutan",2446,3189,15022,2022
"Luxembourg",26321,31376,143342,2023
"Montenegro",4193,5123,31216,2023
"Suriname",1659,2593,21047,2023
"Malta",14543,16509,62446,2023
"Maldives",5409,6435,24809,2023
"Cape Verde",2354,3326,9086,2023
"Belize",1927,3246,14195,2023
"Iceland",17017,19300,77567,2023
"Vanuatu",1379,1781,3315,2023
"Sao Tome and Principe",901,1620,6064,2023
"Samoa",2537,3418,6681,2023
"Saint Lucia",4519,6946,25129,2023
"Kiribati",1489,1858,3522,2023
"Seychelles",5314,8044,32694,2023
"Micronesia",1413,1858,4217,2023
"Tonga",2782,3677,7016,2022
"Tuvalu",2099,2802,5764,2023
